name                    ,type      ,commercial_name         ,support    ,deprecated ,cloud ,cloud_ai
catch                   ,processor ,catch                   ,certified  ,n          ,y     ,y
chunker                 ,scanner   ,chunker                 ,certified  ,n          ,y     ,y
cockroachdb_changefeed  ,input     ,cockroachdb_changefeed  ,community  ,n          ,n     ,n
command                 ,processor ,command                 ,certified  ,n          ,n     ,n
compress                ,processor ,compress                ,certified  ,n          ,y     ,y
couchbase               ,cache     ,couchbase               ,community  ,n          ,n     ,n
couchbase               ,processor ,couchbase               ,community  ,n          ,n     ,n
csv                     ,input     ,csv                     ,certified  ,n          ,n     ,n
csv                     ,scanner   ,csv                     ,certified  ,n          ,y     ,y
decompress              ,processor ,decompress              ,certified  ,n          ,y     ,y
decompress              ,scanner   ,decompress              ,certified  ,n          ,y     ,y
dedupe                  ,processor ,dedupe                  ,certified  ,n          ,y     ,y
discord                 ,input     ,discord                 ,community  ,n          ,n     ,n
discord                 ,output    ,discord                 ,community  ,n          ,n     ,n
drop                    ,output    ,drop                    ,certified  ,n          ,y     ,y
drop_on                 ,output    ,drop_on                 ,certified  ,n          ,y     ,y
dynamic                 ,input     ,dynamic                 ,community  ,n          ,n     ,n
dynamic                 ,output    ,dynamic                 ,community  ,n          ,n     ,n
elasticsearch           ,output    ,elasticsearch           ,community  ,n          ,n     ,n
fallback                ,output    ,fallback                ,certified  ,n          ,y     ,y
file                    ,cache     ,file                    ,certified  ,n          ,n     ,n
file                    ,input     ,file                    ,certified  ,n          ,n     ,n
file                    ,output    ,file                    ,certified  ,n          ,n     ,n
for_each                ,processor ,for_each                ,certified  ,n          ,y     ,y
gcp_bigquery            ,output    ,gcp_bigquery            ,community  ,n          ,n     ,n
gcp_bigquery_select     ,input     ,gcp_bigquery_select     ,community  ,n          ,n     ,n
gcp_bigquery_select     ,processor ,gcp_bigquery_select     ,community  ,n          ,n     ,n
gcp_cloud_storage       ,cache     ,gcp_cloud_storage       ,community  ,n          ,n     ,n
gcp_cloud_storage       ,input     ,gcp_cloud_storage       ,community  ,n          ,n     ,n
gcp_cloud_storage       ,output    ,gcp_cloud_storage       ,community  ,n          ,n     ,n
gcp_cloudtrace          ,tracer    ,gcp_cloudtrace          ,community  ,n          ,n     ,n
gcp_pubsub              ,input     ,gcp_pubsub              ,community  ,n          ,n     ,n
gcp_pubsub              ,output    ,gcp_pubsub              ,community  ,n          ,n     ,n
gcp_vertex_ai_chat      ,processor ,gcp_vertex_ai_chat      ,enterprise ,n          ,y     ,y
generate                ,input     ,generate                ,certified  ,n          ,y     ,y
grok                    ,processor ,grok                    ,community  ,n          ,n     ,n
group_by                ,processor ,group_by                ,certified  ,n          ,y     ,y
group_by_value          ,processor ,group_by_value          ,certified  ,n          ,y     ,y
hdfs                    ,input     ,hdfs                    ,community  ,n          ,n     ,n
hdfs                    ,output    ,hdfs                    ,community  ,n          ,n     ,n
http                    ,processor ,http                    ,certified  ,n          ,n     ,n
http_client             ,input     ,http_client             ,certified  ,n          ,n     ,n
http_client             ,output    ,http_client             ,certified  ,n          ,n     ,n
http_server             ,input     ,http_server             ,certified  ,n          ,n     ,n
http_server             ,output    ,http_server             ,certified  ,n          ,n     ,n
influxdb                ,metric    ,influxdb                ,community  ,n          ,n     ,n
inproc                  ,input     ,inproc                  ,certified  ,n          ,y     ,y
inproc                  ,output    ,inproc                  ,certified  ,n          ,y     ,y
insert_part             ,processor ,insert_part             ,certified  ,n          ,y     ,y
jaeger                  ,tracer    ,jaeger                  ,community  ,n          ,n     ,n
javascript              ,processor ,javascript              ,certified  ,n          ,n     ,n
jmespath                ,processor ,jmespath                ,certified  ,n          ,y     ,y
jq                      ,processor ,jq                      ,certified  ,n          ,y     ,y
json_api                ,metric    ,json_api                ,certified  ,n          ,n     ,n
json_documents          ,scanner   ,json_documents          ,certified  ,n          ,y     ,y
json_schema             ,processor ,json_schema             ,certified  ,n          ,y     ,y
kafka                   ,input     ,kafka                   ,certified  ,n          ,y     ,y
kafka                   ,output    ,kafka                   ,certified  ,n          ,y     ,y
kafka_franz             ,input     ,kafka_franz             ,certified  ,n          ,y     ,y
kafka_franz             ,output    ,kafka_franz             ,certified  ,n          ,y     ,y
lines                   ,scanner   ,lines                   ,certified  ,n          ,y     ,y
local                   ,rate_limit,local                   ,certified  ,n          ,y     ,y
log                     ,processor ,log                     ,certified  ,n          ,y     ,y
logger                  ,metric    ,logger                  ,certified  ,n          ,n     ,n
lru                     ,cache     ,lru                     ,community  ,n          ,y     ,y
mapping                 ,processor ,mapping                 ,certified  ,n          ,y     ,y
memcached               ,cache     ,memcached               ,community  ,n          ,y     ,y
memory                  ,buffer    ,memory                  ,certified  ,n          ,y     ,y
memory                  ,cache     ,memory                  ,certified  ,n          ,y     ,y
metric                  ,processor ,metric                  ,certified  ,n          ,y     ,y
mongodb                 ,cache     ,mongodb                 ,community  ,n          ,n     ,n
mongodb                 ,input     ,mongodb                 ,community  ,n          ,n     ,n
mongodb                 ,output    ,mongodb                 ,community  ,n          ,n     ,n
mongodb                 ,processor ,mongodb                 ,community  ,n          ,n     ,n
mqtt                    ,input     ,mqtt                    ,community  ,n          ,n     ,n
mqtt                    ,output    ,mqtt                    ,community  ,n          ,n     ,n
msgpack                 ,processor ,msgpack                 ,community  ,n          ,n     ,n
multilevel              ,cache     ,multilevel              ,certified  ,n          ,y     ,y
mutation                ,processor ,mutation                ,certified  ,n          ,y     ,y
nanomsg                 ,input     ,nanomsg                 ,community  ,n          ,n     ,n
nanomsg                 ,output    ,nanomsg                 ,community  ,n          ,n     ,n
nats                    ,input     ,nats                    ,certified  ,n          ,y     ,y
nats                    ,output    ,nats                    ,certified  ,n          ,y     ,y
nats_jetstream          ,input     ,nats_jetstream          ,certified  ,n          ,y     ,y
nats_jetstream          ,output    ,nats_jetstream          ,certified  ,n          ,y     ,y
nats_kv                 ,cache     ,nats_kv                 ,certified  ,n          ,y     ,y
nats_kv                 ,input     ,nats_kv                 ,certified  ,n          ,y     ,y
nats_kv                 ,output    ,nats_kv                 ,certified  ,n          ,y     ,y
nats_kv                 ,processor ,nats_kv                 ,certified  ,n          ,y     ,y
nats_request_reply      ,processor ,nats_request_reply      ,certified  ,n          ,y     ,y
nats_stream             ,input     ,nats_stream             ,community  ,n          ,n     ,n
nats_stream             ,output    ,nats_stream             ,community  ,n          ,n     ,n
none                    ,buffer    ,none                    ,certified  ,n          ,y     ,y
none                    ,metric    ,none                    ,certified  ,n          ,y     ,y
none                    ,tracer    ,none                    ,certified  ,n          ,y     ,y
noop                    ,cache     ,noop                    ,certified  ,n          ,y     ,y
noop                    ,processor ,noop                    ,certified  ,n          ,y     ,y
nsq                     ,input     ,nsq                     ,community  ,n          ,n     ,n
nsq                     ,output    ,nsq                     ,community  ,n          ,n     ,n
ockam_kafka             ,input     ,ockam_kafka             ,community  ,n          ,n     ,n
ockam_kafka             ,output    ,ockam_kafka             ,community  ,n          ,n     ,n
ollama_chat             ,processor ,ollama_chat             ,enterprise ,n          ,n     ,y
ollama_embeddings       ,processor ,ollama_embeddings       ,enterprise ,n          ,n     ,y
open_telemetry_collector,tracer    ,open_telemetry_collector,community  ,n          ,n     ,n
openai_chat_completion  ,processor ,openai_chat_completion  ,enterprise ,n          ,y     ,y
openai_embeddings       ,processor ,openai_embeddings       ,enterprise ,n          ,y     ,y
openai_image_generation ,processor ,openai_image_generation ,enterprise ,n          ,y     ,y
openai_speech           ,processor ,openai_speech           ,enterprise ,n          ,y     ,y
openai_transcription    ,processor ,openai_transcription    ,enterprise ,n          ,y     ,y
openai_translation      ,processor ,openai_translation      ,enterprise ,n          ,y     ,y
opensearch              ,output    ,opensearch              ,certified  ,n          ,y     ,y
parallel                ,processor ,parallel                ,certified  ,n          ,y     ,y
parquet                 ,input     ,parquet                 ,certified  ,n          ,n     ,n
parquet                 ,processor ,parquet                 ,community  ,y          ,n     ,n
parquet_decode          ,processor ,parquet_decode          ,certified  ,n          ,y     ,y
parquet_encode          ,processor ,parquet_encode          ,certified  ,n          ,y     ,y
parse_log               ,processor ,parse_log               ,community  ,n          ,y     ,y
pinecone                ,output    ,pinecone                ,certified  ,n          ,y     ,y
processors              ,processor ,processors              ,certified  ,n          ,y     ,y
prometheus              ,metric    ,prometheus              ,certified  ,n          ,y     ,y
protobuf                ,processor ,protobuf                ,certified  ,n          ,y     ,y
pulsar                  ,input     ,pulsar                  ,community  ,n          ,n     ,n
pulsar                  ,output    ,pulsar                  ,community  ,n          ,n     ,n
pusher                  ,output    ,pusher                  ,community  ,n          ,n     ,n
qdrant                  ,output    ,qdrant                  ,certified  ,n          ,y     ,y
rate_limit              ,processor ,rate_limit              ,certified  ,n          ,y     ,y
re_match                ,scanner   ,re_match                ,certified  ,n          ,y     ,y
read_until              ,input     ,read_until              ,certified  ,n          ,y     ,y
redis                   ,cache     ,redis                   ,certified  ,n          ,y     ,y
redis                   ,processor ,redis                   ,certified  ,n          ,y     ,y
redis                   ,rate_limit,redis                   ,certified  ,n          ,y     ,y
redis_hash              ,output    ,redis_hash              ,certified  ,n          ,y     ,y
redis_list              ,input     ,redis_list              ,certified  ,n          ,y     ,y
redis_list              ,output    ,redis_list              ,certified  ,n          ,y     ,y
redis_pubsub            ,input     ,redis_pubsub            ,certified  ,n          ,y     ,y
redis_pubsub            ,output    ,redis_pubsub            ,certified  ,n          ,y     ,y
redis_scan              ,input     ,redis_scan              ,certified  ,n          ,y     ,y
redis_script            ,processor ,redis_script            ,certified  ,n          ,y     ,y
redis_streams           ,input     ,redis_streams           ,certified  ,n          ,y     ,y
redis_streams           ,output    ,redis_streams           ,certified  ,n          ,y     ,y
redpanda_data_transform ,processor ,redpanda_data_transform ,certified  ,n          ,n     ,n
reject                  ,output    ,reject                  ,certified  ,n          ,y     ,y
reject_errored          ,output    ,reject_errored          ,certified  ,n          ,y     ,y
resource                ,input     ,resource                ,certified  ,n          ,y     ,y
resource                ,output    ,resource                ,certified  ,n          ,y     ,y
resource                ,processor ,resource                ,certified  ,n          ,y     ,y
retry                   ,output    ,retry                   ,certified  ,n          ,y     ,y
retry                   ,processor ,retry                   ,certified  ,n          ,y     ,y
ristretto               ,cache     ,ristretto               ,community  ,n          ,y     ,y
schema_registry         ,input     ,schema_registry         ,enterprise ,n          ,y     ,y
schema_registry         ,output    ,schema_registry         ,enterprise ,n          ,y     ,y
schema_registry_decode  ,processor ,schema_registry_decode  ,certified  ,n          ,y     ,y
schema_registry_encode  ,processor ,schema_registry_encode  ,certified  ,n          ,y     ,y
select_parts            ,processor ,select_parts            ,certified  ,n          ,y     ,y
sentry_capture          ,processor ,sentry_capture          ,community  ,n          ,n     ,n
sequence                ,input     ,sequence                ,certified  ,n          ,y     ,y
sftp                    ,input     ,sftp                    ,certified  ,n          ,y     ,y
sftp                    ,output    ,sftp                    ,certified  ,n          ,y     ,y
skip_bom                ,scanner   ,skip_bom                ,certified  ,n          ,y     ,y
sleep                   ,processor ,sleep                   ,certified  ,n          ,y     ,y
snowflake_put           ,output    ,snowflake_put           ,enterprise ,n          ,y     ,y
socket                  ,input     ,socket                  ,certified  ,n          ,n     ,n
socket                  ,output    ,socket                  ,certified  ,n          ,n     ,n
socket_server           ,input     ,socket_server           ,certified  ,n          ,n     ,n
split                   ,processor ,split                   ,certified  ,n          ,y     ,y
splunk                  ,input     ,splunk                  ,enterprise ,n          ,y     ,y
splunk_hec              ,output    ,splunk_hec              ,enterprise ,n          ,y     ,y
sql                     ,cache     ,sql                     ,certified  ,n          ,n     ,n
sql                     ,output    ,sql                     ,community  ,y          ,n     ,n
sql                     ,processor ,sql                     ,community  ,y          ,n     ,n
sql_insert              ,output    ,sql_insert              ,certified  ,n          ,y     ,y
sql_insert              ,processor ,sql_insert              ,certified  ,n          ,y     ,y
sql_raw                 ,input     ,sql_raw                 ,certified  ,n          ,y     ,y
sql_raw                 ,output    ,sql_raw                 ,certified  ,n          ,y     ,y
sql_raw                 ,processor ,sql_raw                 ,certified  ,n          ,y     ,y
sql_select              ,input     ,sql_select              ,certified  ,n          ,y     ,y
sql_select              ,processor ,sql_select              ,certified  ,n          ,y     ,y
sqlite                  ,buffer    ,sqlite                  ,community  ,n          ,n     ,n
statsd                  ,metric    ,statsd                  ,certified  ,n          ,n     ,n
stdin                   ,input     ,stdin                   ,certified  ,n          ,n     ,n
stdout                  ,output    ,stdout                  ,certified  ,n          ,n     ,n
subprocess              ,input     ,subprocess              ,community  ,n          ,n     ,n
subprocess              ,output    ,subprocess              ,community  ,n          ,n     ,n
subprocess              ,processor ,subprocess              ,community  ,n          ,n     ,n
switch                  ,output    ,switch                  ,certified  ,n          ,y     ,y
switch                  ,processor ,switch                  ,certified  ,n          ,y     ,y
switch                  ,scanner   ,switch                  ,certified  ,n          ,y     ,y
sync_response           ,output    ,sync_response           ,certified  ,n          ,y     ,y
sync_response           ,processor ,sync_response           ,certified  ,n          ,y     ,y
system_window           ,buffer    ,system_window           ,certified  ,n          ,y     ,y
tar                     ,scanner   ,tar                     ,certified  ,n          ,y     ,y
to_the_end              ,scanner   ,to_the_end              ,certified  ,n          ,y     ,y
try                     ,processor ,try                     ,certified  ,n          ,y     ,y
ttlru                   ,cache     ,ttlru                   ,community  ,n          ,y     ,y
twitter_search          ,input     ,twitter_search          ,community  ,n          ,n     ,n
unarchive               ,processor ,unarchive               ,certified  ,n          ,y     ,y
wasm                    ,processor ,wasm                    ,community  ,n          ,n     ,n
websocket               ,input     ,websocket               ,certified  ,n          ,n     ,n
websocket               ,output    ,websocket               ,certified  ,n          ,n     ,n
while                   ,processor ,while                   ,certified  ,n          ,y     ,y
workflow                ,processor ,workflow                ,certified  ,n          ,y     ,y
xml                     ,processor ,xml                     ,community  ,n          ,y     ,y
